sample_name,R_vfs,R_n,R_intph0,R_intph1,R_area_m,R_area_v,R_comp_m,R_comp_v,R_eccen_m,R_eccen_v,R_els_m,R_els_v,P_locvf_m,P_locvf_v,P_nbd_m,P_nbd_v,P_ncd_m,P_ncd_v,P_ornang_m,P_ornang_v,P_pores_m,P_pores_v,P_rc_m,P_rc_v,P_rctan_m,P_rctan_v,P_rnds_m,P_rnds_v,P_ttst_m,P_ttst_v
sample10-195rpm-60kx-10,2.806005e-03,7,4.308279e-04,4.161573e-04,1.538214e+03,1306440,1.655171e-01,1.133270e-03,7.945449e-01,2.671249e-02,5.925864e-01,5.681216e-02,2.623768e-03,2.125924e-06,2.676843e+02,1.436247e+05,3.023663e+02,1.491613e+05,-5.315113e-01,1.130630e+00,1.171254e+01,1.822233e+01,2.053568e+01,7.923372e+01,6.931913e-01,8.185379e-03,6.994305e-01,1.068043e-01,3.578032e-01,2.845458e-03
sample10-195rpm-60kx-11,1.143088e-02,19,1.417184e-03,1.411805e-03,2.308619e+03,16562040,1.471780e-01,9.305937e-04,7.517542e-01,1.200218e-02,6.559186e-01,1.624310e-02,1.213494e-02,1.798727e-04,1.630365e+02,1.393098e+04,2.150251e+02,1.488797e+04,-1.646390e-01,1.093824e+00,1.345554e+01,6.597403e+01,2.244612e+01,2.438628e+02,6.678232e-01,1.036449e-02,6.846017e-01,2.872495e-02,2.966658e-01,3.117543e-03
sample10-195rpm-60kx-2,5.962639e-03,22,1.154580e-03,1.111057e-03,1.040021e+03,1714749,1.455598e-01,6.579091e-04,8.187393e-01,1.405505e-02,5.665832e-01,2.767716e-02,9.962188e-03,9.091183e-05,1.253155e+02,3.418347e+04,1.646613e+02,3.378365e+04,-1.509605e-01,1.478954e+00,8.365845e+00,1.344682e+01,1.596404e+01,7.982696e+01,6.553576e-01,9.250549e-03,5.929757e-01,5.514037e-02,3.336307e-01,2.198328e-03
sample10-195rpm-60kx-3,6.538217e-04,6,2.068561e-04,1.970757e-04,4.181522e+02,7.226422e+04,1.582758e-01,2.173232e-03,7.694733e-01,3.431726e-02,6.263262e-01,4.295311e-02,3.033419e-03,3.575237e-05,3.048513e+02,109610,3.382351e+02,1.071495e+05,1.920491e-01,2.265140e-01,6.213725e+00,3.583098e+00,1.107989e+01,1.240562e+01,6.472387e-01,7.577469e-03,5.731141e-01,7.754475e-02,3.550749e-01,1.024449e-03
sample10-195rpm-60kx-4,1.272434e-03,11,3.863270e-04,3.716563e-04,4.438834e+02,9.400256e+04,1.500718e-01,3.912930e-04,8.449117e-01,7.913384e-03,5.586788e-01,1.523506e-02,1.170827e-02,6.646150e-04,2.953759e+02,1.146935e+05,3.206522e+02,1.152438e+05,-1.150237e-01,5.180580e-01,6.175958e+00,4.956415e+00,1.137092e+01,1.319400e+01,6.472839e-01,6.249838e-03,4.670394e-01,1.758477e-02,3.757282e-01,3.179836e-03
sample10-195rpm-60kx-5,9.480659e-03,11,1.023522e-03,1.050907e-03,3.307289e+03,6449904,1.580829e-01,1.592780e-03,7.187025e-01,2.451290e-02,7.201926e-01,1.647091e-02,1.303112e-02,2.005103e-04,2.195281e+02,2.183803e+04,2.891340e+02,1.871264e+04,1.065166e-01,9.010980e-01,1.910200e+01,4.955364e+01,3.049206e+01,1.352750e+02,6.547359e-01,1.503874e-02,7.164995e-01,3.752413e-02,3.121473e-01,5.476232e-03
sample10-195rpm-60kx-6,2.074233e-02,5,1.183432e-03,1.180009e-03,1.591893e+04,175258800,1.230989e-01,4.832360e-04,8.723361e-01,2.633383e-02,4.951192e-01,6.362562e-02,2.678405e-02,1.045658e-03,6.477763e+02,1.398354e+05,8.082280e+02,1.914367e+05,-6.442717e-01,4.635343e-01,3.355957e+01,2.139802e+02,6.457666e+01,1.121261e+03,5.841563e-01,2.182178e-02,4.025336e-01,2.743614e-02,3.383288e-01,4.294027e-03
sample10-195rpm-60kx-7,1.200743e-02,47,2.042643e-03,1.954130e-03,9.803444e+02,696559,1.793980e-01,7.348703e-04,7.376152e-01,3.667335e-02,6.369113e-01,4.434873e-02,1.754355e-02,2.505550e-04,1.007975e+02,9.602475e+03,1.411266e+02,9.825151e+03,3.279585e-02,1.133150e+00,1.033027e+01,1.327630e+01,1.628347e+01,4.792137e+01,26133070000000,3.209806e+28,7.104283e-01,6.144006e-02,3.764263e-01,8.635847e-03
sample10-195rpm-60kx-9,4.440804e-03,8,5.530833e-04,5.408577e-04,2.130090e+03,1708818,1.686940e-01,5.324334e-04,8.479930e-01,3.707827e-03,5.715641e-01,1.361062e-02,5.106168e-03,7.811795e-06,1.564438e+02,3.828181e+04,2.259936e+02,4.130155e+04,-5.385894e-01,1.309412e+00,1.471888e+01,1.779935e+01,2.488319e+01,6.726339e+01,6.670513e-01,5.706754e-03,6.293127e-01,3.935087e-02,3.557358e-01,2.990832e-03
sample10-20rpm-60kx-1,5.824735e-03,60,1.821116e-03,1.703751e-03,3.725214e+02,4.529876e+04,1.636623e-01,7.491545e-04,7.495909e-01,1.931513e-02,6.765281e-01,2.086365e-02,1.459488e-02,5.064432e-04,9.256857e+01,6.288925e+03,1.172283e+02,6.247759e+03,-1.027249e-01,7.817568e-01,6.184680e+00,3.370938e+00,1.055964e+01,7.191182e+00,6.931954e-01,1.084403e-02,6.584393e-01,4.633373e-02,3.527378e-01,1.751045e-03
sample10-20rpm-60kx-11,1.228618e-02,79,3.465206e-03,3.381094e-03,5.967824e+02,2.537708e+05,1.404887e-01,8.904285e-04,7.692311e-01,1.798040e-02,6.697024e-01,1.921067e-02,1.944671e-02,6.094005e-04,6.446534e+01,2.597096e+03,9.457629e+01,2.713359e+03,-3.675481e-02,9.582498e-01,7.125938e+00,8.594729e+00,1.288605e+01,2.421800e+01,6.301798e-01,1.126557e-02,6.320891e-01,4.975828e-02,3.046855e-01,2.343445e-03
sample10-20rpm-60kx-12,9.776517e-03,53,2.162942e-03,2.072962e-03,7.078393e+02,3.003618e+05,1.681987e-01,1.046761e-03,7.434884e-01,2.950352e-02,6.670534e-01,2.617694e-02,2.581634e-02,7.551753e-04,6.063813e+01,1.226585e+04,9.295907e+01,1.244954e+04,2.022289e-01,7.488754e-01,8.410970e+00,5.337835e+00,1.416185e+01,2.523039e+01,6.887852e-01,1.428172e-02,6.671594e-01,7.198327e-02,3.598800e-01,2.713457e-03
sample10-20rpm-60kx-13,2.420558e-02,25,2.350726e-03,2.404030e-03,3.715369e+03,121952000,1.675155e-01,1.685127e-03,7.821422e-01,3.077613e-02,6.077542e-01,3.626139e-02,4.900069e-02,6.415890e-03,1.179958e+02,1.419010e+04,1.951213e+02,1.217111e+04,2.428496e-01,6.434800e-01,1.216533e+01,5.735772e+01,2.364609e+01,6.494801e+02,6.693743e-01,2.375464e-02,6.646493e-01,2.341443e-01,3.748003e-01,3.533338e-03
sample10-20rpm-60kx-2,8.280111e-03,18,1.255318e-03,1.250917e-03,1.765184e+03,8244209,1.435181e-01,9.835851e-04,7.654973e-01,5.699841e-02,6.058379e-01,5.220801e-02,3.207209e-02,3.691589e-03,4.904273e+01,1.338105e+04,9.195257e+01,1.361740e+04,-3.324633e-01,2.439847e-01,1.042488e+01,2.346063e+01,1.955256e+01,1.901361e+02,6.221519e-01,1.186606e-02,4.713256e-01,4.521118e-02,3.635860e-01,2.387531e-03
sample10-20rpm-60kx-3,4.631033e-03,54,1.431366e-03,1.325248e-03,3.290868e+02,2.270820e+04,1.757422e-01,6.702035e-04,7.344309e-01,2.748803e-02,6.778604e-01,2.421024e-02,9.317036e-03,1.418584e-04,6.858012e+01,6.353662e+03,9.154279e+01,6.283907e+03,-1.939354e-02,1.186695e+00,6.156351e+00,2.596971e+00,1.000897e+01,4.658295e+00,7.276264e-01,1.263110e-02,7.497359e-01,5.296461e-02,3.571186e-01,2.338876e-03
