sample_name,R_vfs,R_n,R_intph0,R_intph1,R_area_m,R_area_v,R_area_s,R_area_k,R_comp_m,R_comp_v,R_comp_s,R_comp_k,R_eccen_m,R_eccen_v,R_eccen_s,R_eccen_k,R_els_m,R_els_v,R_els_s,R_els_k,P_locvf_m,P_locvf_v,P_locvf_s,P_locvf_k,P_nbd_m,P_nbd_v,P_nbd_s,P_nbd_k,P_ncd_m,P_ncd_v,P_ncd_s,P_ncd_k,P_ornang_m,P_ornang_v,P_ornang_s,P_ornang_k,P_pores_m,P_pores_v,P_pores_s,P_pores_k,P_rc_m,P_rc_v,P_rc_s,P_rc_k,P_rctan_m,P_rctan_v,P_rctan_s,P_rctan_k,P_rnds_m,P_rnds_v,P_rnds_s,P_rnds_k,P_ttst_m,P_ttst_v,P_ttst_s,P_ttst_k
sample10-195rpm-60kx-10,2.806005e-03,7,4.308279e-04,4.161573e-04,1.538214e+03,1.306440e+06,3.073877e-01,1.678969e+00,1.655171e-01,1.133270e-03,-9.144108e-01,2.282105e+00,7.945449e-01,2.671249e-02,-2.202748e-01,1.544144e+00,5.925864e-01,5.681216e-02,-5.420446e-01,2.152146e+00,2.623768e-03,2.125924e-06,-8.596969e-03,1.624343e+00,2.676843e+02,1.436247e+05,1.247743e+00,3.181371e+00,3.023663e+02,1.491613e+05,1.204324e+00,3.087973e+00,-5.315113e-01,1.130630e+00,1.082900e+00,3.024483e+00,1.171254e+01,1.822233e+01,3.559261e-02,1.811384e+00,2.053568e+01,7.923372e+01,-9.264278e-02,1.684456e+00,6.931913e-01,8.185379e-03,-5.341333e-01,1.847175e+00,6.994305e-01,1.068043e-01,-2.788140e-01,2.550438e+00,3.578032e-01,2.845458e-03,2.476977e-01,2.234902e+00
sample10-195rpm-60kx-11,1.143088e-02,19,1.417184e-03,1.411805e-03,2.308619e+03,1.656204e+07,3.229732e+00,1.261080e+01,1.471780e-01,9.305937e-04,-1.525878e-01,2.228568e+00,7.517542e-01,1.200218e-02,-5.182400e-01,4.010959e+00,6.559186e-01,1.624310e-02,-4.143764e-01,3.484274e+00,1.213494e-02,1.798727e-04,1.495147e+00,4.401734e+00,1.630365e+02,1.393098e+04,8.044238e-01,3.545193e+00,2.150251e+02,1.488797e+04,6.850747e-01,3.593152e+00,-1.646390e-01,1.093824e+00,2.714545e-01,1.620889e+00,1.345554e+01,6.597403e+01,1.661346e+00,5.185723e+00,2.244612e+01,2.438628e+02,2.338215e+00,8.250296e+00,6.678232e-01,1.036449e-02,-3.548693e-01,2.653335e+00,6.846017e-01,2.872495e-02,5.159362e-01,2.195046e+00,2.966658e-01,3.117543e-03,-6.056669e-01,3.650864e+00
sample10-195rpm-60kx-2,5.962639e-03,22,1.154580e-03,1.111057e-03,1.040021e+03,1.714749e+06,2.105827e+00,6.153220e+00,1.455598e-01,6.579091e-04,3.248506e-01,2.892567e+00,8.187393e-01,1.405505e-02,-3.583713e-01,2.034218e+00,5.665832e-01,2.767716e-02,-4.327711e-01,2.221142e+00,9.962188e-03,9.091183e-05,9.999636e-01,2.803063e+00,1.253155e+02,3.418347e+04,1.965939e+00,6.088553e+00,1.646613e+02,3.378365e+04,1.919614e+00,5.884231e+00,-1.509605e-01,1.478954e+00,3.779542e-01,1.391650e+00,8.365845e+00,1.344682e+01,7.039394e-01,2.709076e+00,1.596404e+01,7.982696e+01,1.593222e+00,4.530000e+00,6.553576e-01,9.250549e-03,-2.316666e-01,2.724212e+00,5.929757e-01,5.514037e-02,1.756051e-01,2.485757e+00,3.336307e-01,2.198328e-03,-1.106550e-01,2.470668e+00
sample10-195rpm-60kx-3,6.538217e-04,6,2.068561e-04,1.970757e-04,4.181522e+02,7.226422e+04,8.136797e-01,2.097849e+00,1.582758e-01,2.173232e-03,-1.173719e-02,1.429838e+00,7.694733e-01,3.431726e-02,-1.761161e-01,1.251106e+00,6.263262e-01,4.295311e-02,-2.005118e-02,1.288869e+00,3.033419e-03,3.575237e-05,1.768695e+00,4.162601e+00,3.048513e+02,1.096100e+05,2.657925e-01,1.274743e+00,3.382351e+02,1.071495e+05,2.848736e-01,1.287635e+00,1.920491e-01,2.265140e-01,7.234320e-02,1.469186e+00,6.213725e+00,3.583098e+00,-1.119377e+00,2.953634e+00,1.107989e+01,1.240562e+01,6.329716e-01,1.866085e+00,6.472387e-01,7.577469e-03,-1.534396e-01,1.703188e+00,5.731141e-01,7.754475e-02,3.504080e-01,1.811945e+00,3.550749e-01,1.024449e-03,-8.846257e-02,2.025495e+00
sample10-195rpm-60kx-4,1.272434e-03,11,3.863270e-04,3.716563e-04,4.438834e+02,9.400256e+04,1.439348e+00,3.766146e+00,1.500718e-01,3.912930e-04,-1.348573e-02,2.336576e+00,8.449117e-01,7.913384e-03,-1.609399e-01,1.756026e+00,5.586788e-01,1.523506e-02,-3.958342e-01,1.659002e+00,1.170827e-02,6.646150e-04,2.667167e+00,8.456319e+00,2.953759e+02,1.146935e+05,1.206697e+00,3.439822e+00,3.206522e+02,1.152438e+05,1.184919e+00,3.403795e+00,-1.150237e-01,5.180580e-01,-2.818994e-01,2.007899e+00,6.175958e+00,4.956415e+00,8.023221e-01,2.427304e+00,1.137092e+01,1.319400e+01,1.139106e+00,3.105000e+00,6.472839e-01,6.249838e-03,-1.824360e-01,2.487387e+00,4.670394e-01,1.758477e-02,-2.743975e-01,2.015141e+00,3.757282e-01,3.179836e-03,-3.903439e-01,1.963833e+00
sample10-195rpm-60kx-5,9.480659e-03,11,1.023522e-03,1.050907e-03,3.307289e+03,6.449904e+06,1.356680e+00,3.570180e+00,1.580829e-01,1.592780e-03,-4.087990e-01,2.212084e+00,7.187025e-01,2.451290e-02,-1.379447e+00,4.836347e+00,7.201926e-01,1.647091e-02,-2.063734e-01,3.082759e+00,1.303112e-02,2.005103e-04,1.601729e+00,4.313159e+00,2.195281e+02,2.183803e+04,4.844051e-01,2.071397e+00,2.891340e+02,1.871264e+04,3.735249e-01,1.914990e+00,1.065166e-01,9.010980e-01,-6.707630e-01,1.970805e+00,1.910200e+01,4.955364e+01,4.041527e-01,2.813254e+00,3.049206e+01,1.352750e+02,6.153741e-01,3.273518e+00,6.547359e-01,1.503874e-02,1.362382e-01,2.349741e+00,7.164995e-01,3.752413e-02,1.742252e-01,2.159690e+00,3.121473e-01,5.476232e-03,-7.827925e-01,2.559522e+00
sample10-195rpm-60kx-6,2.074233e-02,5,1.183432e-03,1.180009e-03,1.591893e+04,1.752588e+08,4.647058e-02,1.306719e+00,1.230989e-01,4.832360e-04,-3.477151e-01,2.163572e+00,8.723361e-01,2.633383e-02,-1.407251e+00,3.114955e+00,4.951192e-01,6.362562e-02,1.216025e+00,2.806261e+00,2.678405e-02,1.045658e-03,1.164485e+00,2.740330e+00,6.477763e+02,1.398354e+05,4.729671e-01,1.313709e+00,8.082280e+02,1.914367e+05,6.527806e-01,1.800720e+00,-6.442717e-01,4.635343e-01,7.431786e-01,2.103083e+00,3.355957e+01,2.139802e+02,4.386381e-02,1.468499e+00,6.457666e+01,1.121261e+03,-1.395058e-01,1.262766e+00,5.841563e-01,2.182178e-02,-5.063581e-01,1.498446e+00,4.025336e-01,2.743614e-02,-4.547445e-01,1.935619e+00,3.383288e-01,4.294027e-03,-4.404953e-01,1.372705e+00
sample10-195rpm-60kx-7,1.200743e-02,47,2.042643e-03,1.954130e-03,9.803444e+02,6.965590e+05,1.422362e+00,4.149625e+00,1.793980e-01,7.348703e-04,-6.710259e-01,2.525843e+00,7.376152e-01,3.667335e-02,-5.084417e-01,2.131252e+00,6.369113e-01,4.434873e-02,-3.742412e-01,2.480174e+00,1.754355e-02,2.505550e-04,1.125851e+00,3.462556e+00,1.007975e+02,9.602475e+03,2.347759e+00,1.133455e+01,1.411266e+02,9.825151e+03,2.603411e+00,1.269382e+01,3.279585e-02,1.133150e+00,1.077946e-01,1.583421e+00,1.033027e+01,1.327630e+01,2.290901e-01,3.318013e+00,1.628347e+01,4.792137e+01,7.196130e-01,2.943358e+00,2.613307e+13,3.209806e+28,6.634888e+00,4.502174e+01,7.104283e-01,6.144006e-02,-1.847167e-01,2.832444e+00,3.764263e-01,8.635847e-03,4.228916e+00,2.561619e+01
sample10-195rpm-60kx-9,4.440804e-03,8,5.530833e-04,5.408577e-04,2.130090e+03,1.708818e+06,4.702007e-01,1.980247e+00,1.686940e-01,5.324334e-04,-2.932270e-01,1.835060e+00,8.479930e-01,3.707827e-03,3.247706e-02,1.848437e+00,5.715641e-01,1.361062e-02,3.351391e-01,2.148330e+00,5.106168e-03,7.811795e-06,5.198092e-01,2.020688e+00,1.564438e+02,3.828181e+04,5.921136e-01,1.442899e+00,2.259936e+02,4.130155e+04,6.549722e-01,1.571601e+00,-5.385894e-01,1.309412e+00,8.407644e-01,2.070338e+00,1.471888e+01,1.779935e+01,-4.694492e-02,1.891441e+00,2.488319e+01,6.726339e+01,5.134208e-02,1.988083e+00,6.670513e-01,5.706754e-03,2.281787e-01,2.797220e+00,6.293127e-01,3.935087e-02,1.538958e+00,4.406556e+00,3.557358e-01,2.990832e-03,-1.393446e-01,1.396033e+00
sample10-20rpm-60kx-1,5.824735e-03,60,1.821116e-03,1.703751e-03,3.725214e+02,4.529876e+04,2.076926e+00,7.329740e+00,1.636623e-01,7.491545e-04,-6.466291e-01,2.855226e+00,7.495909e-01,1.931513e-02,-5.490072e-01,2.627684e+00,6.765281e-01,2.086365e-02,-1.303289e-01,2.418186e+00,1.459488e-02,5.064432e-04,3.310217e+00,1.464167e+01,9.256857e+01,6.288925e+03,8.361836e-01,2.599838e+00,1.172283e+02,6.247759e+03,8.697212e-01,2.693461e+00,-1.027249e-01,7.817568e-01,2.876664e-01,1.983100e+00,6.184680e+00,3.370938e+00,1.048448e+00,5.673882e+00,1.055964e+01,7.191182e+00,1.455798e+00,5.059149e+00,6.931954e-01,1.084403e-02,-5.664099e-01,3.885827e+00,6.584393e-01,4.633373e-02,1.620098e-01,2.577968e+00,3.527378e-01,1.751045e-03,-1.802198e-01,2.993701e+00
